[2026-02-02 00:30:01] ========== CRON: Vacation Balance Update Started ==========
[2026-02-02 00:30:01] Force level: 0 (0=normal, 1=check missing, 2=full bypass)
[2026-02-02 00:30:01] Source: CLI (argv)
[2026-02-02 00:30:01] Database connection established
[2026-02-02 00:30:01] [emp_id: 5472] Created new emp_vacation_balance with starting balance 0.08
[2026-02-02 00:30:01] Created 1 new emp_vacation_balance record(s) for newly registered employees
[2026-02-02 00:30:01] Found 423 active employees with balance records to update
[2026-02-02 00:30:01] (Only employees with status=1 will be processed)
[2026-02-02 00:30:04]   [emp_id: 4288] ✓ Updated: 2 → 2.17 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4315] ✓ Updated: 14.68 → 14.85 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4328] ✓ Updated: 44.1 → 44.22 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4329] ✓ Updated: 7.85 → 8.02 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4338] ✓ Updated: 49.43 → 49.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4340] ✓ Updated: 111.43 → 111.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4365] ✓ Updated: 62.85 → 63.02 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4366] ✓ Updated: 61.93 → 62.1 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4403] ✓ Updated: 87.76 → 87.93 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4438] ✓ Updated: 23.43 → 23.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4473] ✓ Updated: 47.01 → 47.18 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4474] ✓ Updated: 4.94 → 5.06 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4493] ✓ Updated: 165.85 → 166.02 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4526] ✓ Updated: 38.1 → 38.27 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4528] ✓ Updated: 109.85 → 110.02 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4528] ✓ Updated: 109.85 → 110.02 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4532] ✓ Updated: 0.42 → 0.54 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4533] ✓ Updated: 38.26 → 38.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4565] ✓ Updated: 16.93 → 17.05 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4567] ✓ Updated: 21.18 → 21.3 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4572] ✓ Updated: 60.68 → 60.8 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4631] ✓ Updated: 16.93 → 17.05 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4655] ✓ Updated: 27.18 → 27.35 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4709] ✓ Updated: 42.43 → 42.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4717] ✓ Updated: 68.43 → 68.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4736] ✓ Updated: 30.26 → 30.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4756] ✓ Updated: 13.37 → 13.49 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4768] ✓ Updated: 14.93 → 15.01 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4780] ✓ Updated: 67.1 → 67.22 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4820] ✓ Updated: 101.26 → 101.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4824] ✓ Updated: 4.44 → 4.61 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4825] ✓ Updated: 33.01 → 33.18 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4837] ✓ Updated: 47.09 → 47.21 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4840] ✓ Updated: 47.09 → 47.21 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4842] ✓ Updated: 46.33 → 46.45 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4843] ✓ Updated: 46.86 → 46.98 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4856] ✓ Updated: 44 → 44.12 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4857] ✓ Updated: 26.82 → 26.94 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4858] ✓ Updated: 23.7 → 23.82 (VALUE CHANGED)
